schools,districts,countys,sat_pct_pass_gr12,act_pct_pass_gr12,pct_poverty,pct_asian,pct_black,pct_hispanic,pct_white,pct_mixed,pct_other_race,act_tst_tkrs_gr12,enroll_gr12,sat_tst_tkrs_gr12,school_score_class,school_pov_class
Pierce High,Pierce Joint Unified,Colusa,14.000000000000002,31.0,63.9,0.9216589861751152,0.6912442396313364,74.42396313364056,23.04147465437788,0.6912442396313364,0.2304147465437788,16.0,103.0,21.0,poor,medium
Making Waves Academy,Contra Costa County Office of Education,Contra Costa,26.0,50.0,82.9,2.4485798237022527,7.933398628795299,86.1900097943193,0.7835455435847208,2.1547502448579823,0.4897159647404506,20.0,83.0,77.0,fair,high
Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,71.0,73.0,20.6,6.893464637421665,3.6257833482542523,25.828111011638317,44.49418084153984,8.28111011638317,10.877350044762757,130.0,482.0,218.0,good,very low
Acalanes High,Acalanes Union High,Contra Costa,89.0,94.0,5.8,10.318664643399089,0.7587253414264037,9.332321699544764,68.81638846737481,7.814871016691957,2.959028831562974,99.0,353.0,122.0,excellent,very low
Campolindo High,Acalanes Union High,Contra Costa,79.0,93.0,3.5000000000000004,14.098837209302326,0.6540697674418605,9.520348837209303,64.38953488372093,9.44767441860465,1.88953488372093,161.0,340.0,97.0,excellent,very low
Las Lomas High,Acalanes Union High,Contra Costa,77.0,84.0,11.8,13.09157959434542,2.642901044867855,14.32083589428396,60.97111247695144,4.609711124769515,4.363859864781807,128.0,367.0,149.0,excellent,very low
Miramonte High,Acalanes Union High,Contra Costa,89.0,92.0,4.0,17.15210355987055,2.4271844660194173,7.605177993527508,62.702265372168284,5.825242718446602,4.288025889967638,149.0,319.0,105.0,excellent,very low
Dozier-Libbey Medical High,Antioch Unified,Contra Costa,45.0,53.0,55.3,8.507670850767084,18.270571827057182,46.16457461645746,12.412831241283124,4.044630404463041,10.599721059972106,19.0,143.0,56.0,fair,medium
Deer Valley High,Antioch Unified,Contra Costa,50.0,49.0,59.699999999999996,5.885471898197243,31.12407211028632,34.994697773064686,13.149522799575822,4.7720042417815485,10.07423117709438,47.0,533.0,118.0,fair,medium
Antioch High,Antioch Unified,Contra Costa,20.0,30.0,70.9,2.1547502448579823,20.029382957884426,54.16258570029383,14.887365328109697,3.721841332027424,5.044074436826641,50.0,456.0,110.0,poor,medium
